trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcome.started,welcome_image.started,welcome_image.stopped,welcome.stopped,instructions.started,instruction_image.started,instruction_image.stopped,instructions.stopped,cross.started,image_2.started,cross.stopped,trial.started,image.started,trial.stopped,Thankyou.started,thankyou_image.started,thankyou_image.stopped,Thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.018530699890106916,0.047885899897664785,0.047885899897664785,0.019132099929265678,,,,,,,,,,,,,,,475451,001,2024-07-31_11h38.06.702,EEG_experimemt,2024.1.1,None,2024-07-31 11h38.10.960565 +0100,
,,,,,,,,,,0.01915429998189211,0.047885899897664785,0.047885899897664785,0.019423299934715033,,,,,,,,,,,475451,001,2024-07-31_11h38.06.702,EEG_experimemt,2024.1.1,None,2024-07-31 11h38.10.960565 +0100,
0,0,0,0,0.047885899897664785,,,,,,,,,,0.019935399992391467,0.047885899897664785,1.032759099965915,1.0327708999393508,1.048335799947381,2.0353936000028625,,,,,475451,001,2024-07-31_11h38.06.702,EEG_experimemt,2024.1.1,None,2024-07-31 11h38.10.960565 +0100,
1,0,1,0,2.04931689996738,,,,,,,,,,2.035606999997981,2.04931689996738,3.0331435999833047,3.0331566999666393,3.047529299976304,4.0332783999620005,,,,,475451,001,2024-07-31_11h38.06.702,EEG_experimemt,2024.1.1,None,2024-07-31 11h38.10.960565 +0100,
2,0,2,0,4.047600599937141,,,,,,,,,,4.0335140998940915,4.047600599937141,5.0335694999666885,5.033583499956876,5.047665299964137,6.0332481999648735,,,,,475451,001,2024-07-31_11h38.06.702,EEG_experimemt,2024.1.1,None,2024-07-31 11h38.10.960565 +0100,
3,0,3,0,6.04780679999385,,,,,,,,,,6.033483299892396,6.04780679999385,7.035297299968079,7.035314799984917,7.048412899952382,8.033391299890354,,,,,475451,001,2024-07-31_11h38.06.702,EEG_experimemt,2024.1.1,None,2024-07-31 11h38.10.960565 +0100,
4,0,4,0,8.048360899905674,,,,,,,,,,8.033582699950784,8.048360899905674,9.033937999978662,9.033952399971895,9.048044999944977,10.034054199932143,,,,,475451,001,2024-07-31_11h38.06.702,EEG_experimemt,2024.1.1,None,2024-07-31 11h38.10.960565 +0100,
,,,,,,,,,,,,,,,,,,,,10.03410409996286,10.049080499913543,10.049080499913543,10.03468099993188,475451,001,2024-07-31_11h38.06.702,EEG_experimemt,2024.1.1,None,2024-07-31 11h38.10.960565 +0100,
